epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,3032.23,2.34965,2.72387,2.07272,0.42463,0.33567,0.2414,0.09326,2.75418,2.944,1.9659,0.0089209,0.0089209,0.0089209
111,3059.85,2.37028,2.71464,2.05422,0.42408,0.32054,0.24152,0.09008,2.7932,2.73068,1.97472,0.008911,0.008911,0.008911
112,3087.09,2.40555,2.77286,2.06942,0.41669,0.30573,0.24506,0.09432,2.76772,2.70568,1.92552,0.0089011,0.0089011,0.0089011
113,3114.71,2.36911,2.70739,2.05893,0.39575,0.268,0.23603,0.09231,2.74011,2.74235,1.90124,0.0088912,0.0088912,0.0088912
114,3142.15,2.34688,2.77933,2.05733,0.33666,0.34506,0.23861,0.08015,2.72911,2.69164,1.88663,0.0088813,0.0088813,0.0088813
115,3169.46,2.33242,2.72725,2.02608,0.43166,0.31467,0.25872,0.09721,2.79003,2.77835,1.92995,0.0088714,0.0088714,0.0088714
116,3196.84,2.39573,2.78357,2.0252,0.40494,0.34249,0.26404,0.09685,2.73384,2.69156,1.90471,0.0088615,0.0088615,0.0088615
117,3224.17,2.32751,2.64938,2.00065,0.41454,0.32473,0.26642,0.09692,2.79903,2.71228,1.90434,0.0088516,0.0088516,0.0088516
118,3251.71,2.35456,2.74247,2.01686,0.4387,0.32533,0.26067,0.09301,2.77668,2.74353,1.89722,0.0088417,0.0088417,0.0088417
119,3279.14,2.32475,2.68786,2.04611,0.25571,0.3292,0.26911,0.10013,2.7483,2.72911,1.89668,0.0088318,0.0088318,0.0088318
120,3306.72,2.32542,2.67202,2.00005,0.26846,0.31727,0.26216,0.10002,2.7074,2.70183,1.89181,0.0088219,0.0088219,0.0088219
121,3334.11,2.34991,2.71183,2.03444,0.24767,0.30648,0.25814,0.09271,2.74709,2.70359,1.8775,0.008812,0.008812,0.008812
122,3361.58,2.3169,2.72335,1.98214,0.41542,0.34955,0.23723,0.08469,2.81882,2.83663,1.91036,0.0088021,0.0088021,0.0088021
123,3388.88,2.28344,2.63482,1.97917,0.23391,0.30974,0.27574,0.09894,2.74315,2.68191,1.89929,0.0087922,0.0087922,0.0087922
124,3416.16,2.26998,2.61949,1.9715,0.37876,0.3144,0.29517,0.1016,2.73884,2.60072,1.89064,0.0087823,0.0087823,0.0087823
125,3443.69,2.32395,2.63945,1.96695,0.22667,0.39072,0.24381,0.09209,2.75966,2.72748,1.8927,0.0087724,0.0087724,0.0087724
126,3471.2,2.30229,2.645,1.99005,0.42424,0.41951,0.26394,0.10041,2.77362,2.7785,1.9317,0.0087625,0.0087625,0.0087625
127,3498.83,2.2657,2.63065,1.96219,0.44304,0.40308,0.29252,0.10372,2.72442,2.63866,1.89585,0.0087526,0.0087526,0.0087526
128,3526.22,2.28025,2.61645,1.98262,0.50575,0.30771,0.28767,0.09742,2.82252,2.72343,1.92878,0.0087427,0.0087427,0.0087427
129,3553.53,2.28305,2.64138,1.96437,0.29873,0.33557,0.30141,0.10834,2.76301,2.69601,1.92701,0.0087328,0.0087328,0.0087328
130,3580.93,2.23522,2.64133,1.98453,0.27393,0.33827,0.28891,0.09684,2.7191,2.60928,1.91683,0.0087229,0.0087229,0.0087229
131,3608.26,2.27971,2.59405,1.93694,0.34347,0.42966,0.32458,0.10619,2.73101,2.59847,1.89374,0.008713,0.008713,0.008713
132,3635.73,2.26743,2.59717,1.98294,0.36725,0.34704,0.29738,0.09403,2.72117,2.67069,1.91143,0.0087031,0.0087031,0.0087031
133,3663.22,2.26014,2.63297,1.97032,0.28103,0.3293,0.26727,0.09576,2.72732,2.64578,1.9389,0.0086932,0.0086932,0.0086932
134,3690.88,2.25163,2.60374,1.93932,0.32624,0.37743,0.29687,0.09841,2.71823,2.62339,1.9019,0.0086833,0.0086833,0.0086833
135,3718.22,2.29116,2.60535,1.97349,0.35478,0.33855,0.28964,0.10149,2.69479,2.70208,1.881,0.0086734,0.0086734,0.0086734
136,3745.5,2.24492,2.57229,1.94969,0.32946,0.34949,0.2727,0.09688,2.75569,2.65505,1.88765,0.0086635,0.0086635,0.0086635
137,3772.76,2.22274,2.52217,1.93407,0.41834,0.39977,0.32052,0.10791,2.74311,2.56843,1.87799,0.0086536,0.0086536,0.0086536
138,3800.13,2.26881,2.54951,1.95412,0.38913,0.32875,0.30411,0.09978,2.74534,2.66094,1.94197,0.0086437,0.0086437,0.0086437
139,3827.74,2.24322,2.6085,1.90996,0.32277,0.37658,0.2979,0.10685,2.72578,2.59623,1.87329,0.0086338,0.0086338,0.0086338
140,3855,2.2671,2.6088,1.90975,0.29078,0.34292,0.29774,0.1034,2.75491,2.63718,1.88973,0.0086239,0.0086239,0.0086239
141,3882.69,2.2018,2.49183,1.88792,0.34286,0.38813,0.32348,0.10919,2.75606,2.65953,1.90106,0.008614,0.008614,0.008614
142,3910.15,2.16176,2.49507,1.90892,0.5452,0.36213,0.31775,0.11029,2.71199,2.52543,1.87727,0.0086041,0.0086041,0.0086041
143,3937.51,2.21658,2.4898,1.90149,0.38083,0.33354,0.34221,0.1086,2.74198,2.57504,1.90466,0.0085942,0.0085942,0.0085942
144,3964.83,2.20701,2.53305,1.90291,0.35518,0.3464,0.32212,0.1072,2.75277,2.59921,1.891,0.0085843,0.0085843,0.0085843
145,3992.02,2.1791,2.46846,1.90937,0.34432,0.33382,0.30849,0.09947,2.7305,2.56945,1.8857,0.0085744,0.0085744,0.0085744
146,4019.43,2.1772,2.46084,1.88599,0.36438,0.32191,0.29802,0.0994,2.73616,2.59388,1.91387,0.0085645,0.0085645,0.0085645
147,4046.93,2.24495,2.58122,1.92208,0.28606,0.37306,0.27935,0.10095,2.69199,2.62367,1.87759,0.0085546,0.0085546,0.0085546
148,4074.68,2.17703,2.48494,1.89561,0.33168,0.39081,0.30189,0.10906,2.67436,2.49719,1.83412,0.0085447,0.0085447,0.0085447
149,4102.08,2.1945,2.53463,1.90883,0.30917,0.43166,0.26829,0.10564,2.71677,2.70034,1.86855,0.0085348,0.0085348,0.0085348
150,4129.45,2.17779,2.52998,1.87612,0.37025,0.37618,0.34377,0.10992,2.75788,2.54072,1.86589,0.0085249,0.0085249,0.0085249
151,4156.8,2.18216,2.44511,1.89492,0.33578,0.39471,0.32968,0.10844,2.75415,2.48849,1.87114,0.008515,0.008515,0.008515
152,4184.01,2.22555,2.5123,1.91678,0.36201,0.31762,0.28841,0.09936,2.72433,2.52607,1.903,0.0085051,0.0085051,0.0085051
153,4211.47,2.20753,2.4656,1.90643,0.31134,0.42297,0.31029,0.10684,2.73977,2.55441,1.86984,0.0084952,0.0084952,0.0084952
154,4238.96,2.18455,2.52063,1.89571,0.36939,0.35495,0.33503,0.11036,2.69841,2.50593,1.88869,0.0084853,0.0084853,0.0084853
155,4266.53,2.19192,2.52688,1.88822,0.3093,0.38055,0.30174,0.10334,2.79981,2.62433,1.89463,0.0084754,0.0084754,0.0084754
156,4293.92,2.21281,2.44955,1.8687,0.35791,0.31176,0.28949,0.10228,2.71276,2.49139,1.86535,0.0084655,0.0084655,0.0084655
157,4321.29,2.13981,2.37998,1.86261,0.29946,0.37365,0.28182,0.1056,2.71094,2.48264,1.87083,0.0084556,0.0084556,0.0084556
158,4348.66,2.17134,2.43386,1.85763,0.43663,0.35918,0.34096,0.11289,2.6826,2.49962,1.85171,0.0084457,0.0084457,0.0084457
